# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
0.95066231,0.30260521,0.29202408,0.30006106,0.01058113,0.00254415
0.96325386,0.30661323,0.29279388,0.30406125,0.01381934,0.00255198
0.97584541,0.31062124,0.29446187,0.30806144,0.01615937,0.00255981
0.98843697,0.31462926,0.29718951,0.31206162,0.01743975,0.00256764
1.00102852,0.31863727,0.30106903,0.31606181,0.01756824,0.00257546
1.01362007,0.32264529,0.30611688,0.32006200,0.01652841,0.00258329
1.02621163,0.32665331,0.31227208,0.32406219,0.01438123,0.00259112
1.03880318,0.33066132,0.31939976,0.32806237,0.01126156,0.00259895
1.05139474,0.33466934,0.32729958,0.33206256,0.00736975,0.00260678
1.06398629,0.33867735,0.33571849,0.33606275,0.00295886,0.00261460
1.07657784,0.34268537,0.34436714,0.34006294,0.00168177,0.00262243
1.08916940,0.34669339,0.35293879,0.34406313,0.00624540,0.00263026
1.10176095,0.35070140,0.36112948,0.34806331,0.01042808,0.00263809
1.11435250,0.35470942,0.36865823,0.35206350,0.01394881,0.00264592
1.12694406,0.35871743,0.37528579,0.35606369,0.01656836,0.00265374
1.13953561,0.36272545,0.38083086,0.36006388,0.01810541,0.00266157
1.15212717,0.36673347,0.38518253,0.36406407,0.01844907,0.00266940
1.16471872,0.37074148,0.38830822,0.36806425,0.01756674,0.00267723
1.17731027,0.37474950,0.39025646,0.37206444,0.01550696,0.00268506
1.18990183,0.37875752,0.39115435,0.37606463,0.01239684,0.00269289
1.20249338,0.38276553,0.39119981,0.38006482,0.00843427,0.00270071
1.21508493,0.38677355,0.39064902,0.38406501,0.00387547,0.00270854
1.22767649,0.39078156,0.38980000,0.38806519,0.00098156,0.00271637
